Konzepte;Typ;Synonyme;Wortformen;;;
Brandschutz;intern;;;;;
vorbeugender Brandschutz;intern;;vorbeugendem Brandschutz, vorbeugenden Brandschutz;;;
Katastrophenmanagement;intern;;;;;
Katastrophenschutz;intern;;;;;
Katastrophenschutzgesetz;intern;;Katastrophenschutzgesetze;;;
Katastrophenschutzbehörde;intern;;Katastrophenschutzbehörden;;;
Bundesamt für Bevölkerungsschutz und Katastrophenhilfe (BBK);intern;;;;;
Schadensbegrenzung;intern;;;;;
Hilfsmaßnahme &  Schadenvorsorge;intern;;Hilfsmaßnahmen &  Schadenvorsorge;;;
Wiederaufbau nach Naturkatastrophe;intern;;;;;
Sach- und Wohngebäudeversicherung gegen Naturkatastrophen;intern;;Sach- und Wohngebäudeversicherungen gegen Naturkatastrophen;;;
EU-Katastrophenschutzverfahren;intern;;;;;
Versicherungsschutz;intern;;;;;
Haftversicherungspflicht;intern;;;;;
Rettung und Soforthilfe;intern;;Rettungen und Soforthilfe;;;
Rettungseinsatz ;intern;Rettungsarbeiten;Rettungseinsätze;;;
Hilfstransport (Katastrophenhilfe);intern;;;;;
Deutsche GeoForschungsZentrum;intern;;;;;
RKT (Regensburger Krankentransport);intern;;;;;
Retungsorganisation Weißhelme;intern;;;;;
Türkischer Roter Halbmond ;intern;;;;;
Notfallvorsorge;intern;;Notfallvorsorgen;;;
Opferhilfe;intern;;;;;
Versorgung von Überlebenden und Verletzten;intern;;Versorgungen von Überlebenden und Verletzten;;;
schnelle Visavergabe;intern;;;;;
Flüchtlichgsorganisation;extern;;Flüchtlichgsorganisationen;;;
medizinische Versorgung für Natirkatastrophenopfer;intern;;;;;
Verpflegung, Strom- und Trinkwasserversorgung;intern;;;;;
Nothilfe nach Naturkatastrophe;intern;;Nothilfe nach Naturkatastrophe;;;
Ausnahmezustand;intern;Notlage, Notstand ;;;;
Notunterkunft für Betroffenen;intern;Notquartier;Notunterkünfte für Betroffenen;;;
Sach- und Geldspende;intern;;;;;
Hilfsgut für Betroffene;intern;;Hilfsgüter für Betroffenen;;;
Katastrophenschaden;intern;;Katastrophenschäden;;;
entwurzelte vom Sturm/Orkan Baum;intern;;entwurzelte vom Sturm/Orkan Bäume;;;
Gebäudeschaden nach Naturkatastrophe;intern;beschädigte Dacher;Gebäudeschäden nach Naturkatastrophe;;;
Elementarschadenversicherung;intern;Naturgefahrendeckung;Elementarschadenversicherungen;;;
überflutete Straße;intern;;überflutete Straßen;;;
Sachschaden;extern;Sachschäden;;;;
Unwetterstörung Bahn- und Straßenverkehr;intern;Verspätungen und Zugausfällen;Unwetterstörungen Bahn- und Straßenverkehr;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
