Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
;371;Sach- und Geldspende;intern;;;;;
;372;Hilfsgut für Betroffene;intern;;Hilfsgüter für Betroffenen;;;
;378;Katastrophenschaden;intern;;Katastrophenschäden;;;
;379;entwurzelte vom Sturm/Orkan Baum;intern;;entwurzelte vom Sturm/Orkan Bäume;;;
;380;Gebäudeschaden nach Naturkatastrophe;intern;beschädigte Dacher;Gebäudeschäden nach Naturkatastrophe;;;
;;Elementarschadenversicherung;intern;Naturgefahrendeckung;Elementarschadenversicherungen;;;
;381;überflutete Straße;intern;;überflutete Straßen;;;
;382;Sachschaden;extern;Sachschäden;;;;
;383;Unwetterstörung Bahn- und Straßenverkehr;intern;Verspätungen und Zugausfällen;Unwetterstörungen Bahn- und Straßenverkehr;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
